WO,District,LeadTech,Service,Rush,ReqDate,WorkDate,Techs,WtyLbr,WtyParts,LbrHrs,PartsCost,Payment,Wait,LbrRate,LbrCost,LbrFee,PartsFee,TotalCost,TotalFee,ReqDay,WorkDay
A00253,Northeast,Lopez,Replace,Yes,08-Nov-20,10-Nov-20,1,,,1.5,107.68,C.O.D.,2,#REF!,#REF!,#REF!,107.68,#REF!,#REF!,Sun,Tue
A00254,Central,Khan,Assess,,09-Nov-20,12-Nov-20,1,,,0.25,258.98,Account,3,#REF!,#REF!,#REF!,258.98,#REF!,#REF!,Mon,Thu
A00255,West,Ling,Assess,,09-Nov-20,29-Nov-20,1,,,0.25,139.6,Account,20,#REF!,#REF!,#REF!,139.6,#REF!,#REF!,Mon,Sun
A00256,Central,Burton,Assess,,10-Nov-20,15-Nov-20,1,,,1.0,35.47,P.O.,5,#REF!,#REF!,#REF!,35.47,#REF!,#REF!,Tue,Sun
A00257,Northeast,Burton,Replace,Yes,10-Nov-20,13-Nov-20,1,Yes,,1.0,116.22,Account,3,#REF!,#REF!,#REF!,116.22,#REF!,#REF!,Tue,Fri
A00258,West,Lopez,Replace,Yes,11-Nov-20,18-Nov-20,1,,,1.5,40.89,C.O.D.,7,#REF!,#REF!,#REF!,40.89,#REF!,#REF!,Wed,Wed
A00259,North,Cartier,Deliver,Yes,11-Nov-20,16-Nov-20,2,,,2.0,36.46,P.O.,5,#REF!,#REF!,#REF!,36.46,#REF!,#REF!,Wed,Mon
A00260,Northwest,Burton,Assess,,12-Nov-20,15-Nov-20,1,,,0.25,72.03,P.O.,3,#REF!,#REF!,#REF!,72.03,#REF!,#REF!,Thu,Sun
A00261,East,Ling,Assess,Yes,12-Nov-20,14-Nov-20,1,,,0.25,270.7,Account,2,#REF!,#REF!,#REF!,270.7,#REF!,#REF!,Thu,Sat
A00262,Southwest,Khan,Assess,Yes,12-Nov-20,15-Nov-20,1,,,0.25,16.98,C.O.D.,3,#REF!,#REF!,#REF!,16.98,#REF!,#REF!,Thu,Sun
A00263,East,Khan,Deliver,Yes,13-Nov-20,18-Nov-20,1,,,0.5,16.67,P.O.,5,#REF!,#REF!,#REF!,16.67,#REF!,#REF!,Fri,Wed
A00264,East,Burton,Assess,,13-Nov-20,15-Nov-20,1,,,0.25,97.43,Account,2,#REF!,#REF!,#REF!,97.43,#REF!,#REF!,Fri,Sun
A00265,East,Lopez,Repair,,14-Nov-20,16-Nov-20,1,,Yes,0.5,47.7,C.O.D.,2,#REF!,#REF!,#REF!,47.7,#REF!,#REF!,Sat,Mon
A00266,Northwest,Burton,Assess,,14-Nov-20,17-Nov-20,1,,,0.75,432.94,Account,3,#REF!,#REF!,#REF!,432.94,#REF!,#REF!,Sat,Tue
A00267,Northwest,Ling,Repair,,15-Nov-20,20-Nov-20,1,,,0.75,95.0,C.O.D.,5,#REF!,#REF!,#REF!,95.0,#REF!,#REF!,Sun,Fri
A00268,Northeast,Khan,Assess,Yes,15-Nov-20,25-Nov-20,2,Yes,,1.75,222.92,C.O.D.,10,#REF!,#REF!,#REF!,222.92,#REF!,#REF!,Sun,Wed
A00269,South,Lopez,Replace,,16-Nov-20,21-Nov-20,2,,,0.75,112.95,C.O.D.,5,#REF!,#REF!,#REF!,112.95,#REF!,#REF!,Mon,Sat
A00270,Northwest,Michner,Repair,,16-Nov-20,26-Nov-20,2,,,0.5,216.84,Account,10,#REF!,#REF!,#REF!,216.84,#REF!,#REF!,Mon,Thu
A00271,Southwest,Ling,Assess,Yes,17-Nov-20,22-Nov-20,1,,,0.5,121.41,C.O.D.,5,#REF!,#REF!,#REF!,121.41,#REF!,#REF!,Tue,Sun
A00272,Northwest,Lopez,Replace,Yes,17-Nov-20,20-Nov-20,1,,,0.5,251.33,C.O.D.,3,#REF!,#REF!,#REF!,251.33,#REF!,#REF!,Tue,Fri
A00273,East,Ling,Assess,Yes,18-Nov-20,21-Nov-20,1,,,0.5,72.68,C.O.D.,3,#REF!,#REF!,#REF!,72.68,#REF!,#REF!,Wed,Sat
A00274,East,Cartier,Assess,,18-Nov-20,25-Nov-20,1,Yes,,0.5,38.85,Account,7,#REF!,#REF!,#REF!,38.85,#REF!,#REF!,Wed,Wed
A00275,West,Ling,Assess,,19-Nov-20,21-Nov-20,2,,,0.25,164.25,Account,2,#REF!,#REF!,#REF!,164.25,#REF!,#REF!,Thu,Sat
A00276,Southwest,Michner,Assess,,19-Nov-20,09-Dec-20,2,,,0.25,201.74,Account,20,#REF!,#REF!,#REF!,201.74,#REF!,#REF!,Thu,Wed
A00277,West,Burton,Assess,,20-Nov-20,04-Dec-20,1,,,1.75,122.94,C.O.D.,14,#REF!,#REF!,#REF!,122.94,#REF!,#REF!,Fri,Fri
A00278,Southwest,Lopez,Assess,,20-Nov-20,04-Dec-20,1,,,0.75,110.1,Account,14,#REF!,#REF!,#REF!,110.1,#REF!,#REF!,Fri,Fri
A00279,Northeast,Cartier,Deliver,,21-Nov-20,24-Nov-20,1,,,0.5,118.5,Account,3,#REF!,#REF!,#REF!,118.5,#REF!,#REF!,Sat,Tue
A00280,South,Khan,Assess,,21-Nov-20,28-Nov-20,1,,,0.25,134.42,Account,7,#REF!,#REF!,#REF!,134.42,#REF!,#REF!,Sat,Sat
A00281,Southwest,Michner,Assess,Yes,21-Nov-20,26-Nov-20,1,,,0.5,164.23,C.O.D.,5,#REF!,#REF!,#REF!,164.23,#REF!,#REF!,Sat,Thu
A00282,Central,Burton,Replace,,22-Nov-20,22-Dec-20,2,,,0.5,121.19,Account,30,#REF!,#REF!,#REF!,121.19,#REF!,#REF!,Sun,Tue
A00283,Northwest,Khan,Replace,,22-Nov-20,25-Nov-20,1,,,0.25,105.69,P.O.,3,#REF!,#REF!,#REF!,105.69,#REF!,#REF!,Sun,Wed
A00284,Northwest,Burton,Assess,,23-Nov-20,28-Nov-20,1,,,0.5,660.42,Account,5,#REF!,#REF!,#REF!,660.42,#REF!,#REF!,Mon,Sat
A00285,Northwest,Burton,Assess,,23-Nov-20,26-Nov-20,1,,,0.5,24.7,Account,3,#REF!,#REF!,#REF!,24.7,#REF!,#REF!,Mon,Thu
A00286,North,Burton,Repair,,24-Nov-20,01-Dec-20,2,,,0.25,599.38,P.O.,7,#REF!,#REF!,#REF!,599.38,#REF!,#REF!,Tue,Tue
A00287,Southwest,Michner,Replace,,24-Nov-20,29-Nov-20,1,,,0.5,97.33,Account,5,#REF!,#REF!,#REF!,97.33,#REF!,#REF!,Tue,Sun
A00288,West,Khan,Assess,,25-Nov-20,26-Nov-20,1,,,0.5,56.25,Account,1,#REF!,#REF!,#REF!,56.25,#REF!,#REF!,Wed,Thu
A00289,West,Lopez,Replace,,25-Nov-20,28-Nov-20,2,,,0.5,95.95,Account,3,#REF!,#REF!,#REF!,95.95,#REF!,#REF!,Wed,Sat
A00290,Central,Michner,Deliver,,26-Nov-20,01-Dec-20,2,,,1.0,59.23,Account,5,#REF!,#REF!,#REF!,59.23,#REF!,#REF!,Thu,Tue
A00291,Central,Lopez,Repair,,26-Nov-20,28-Nov-20,1,,,1.0,319.8,Account,2,#REF!,#REF!,#REF!,319.8,#REF!,#REF!,Thu,Sat
A00292,Northwest,Michner,Assess,,27-Nov-20,02-Dec-20,2,,,0.25,90.56,C.O.D.,5,#REF!,#REF!,#REF!,90.56,#REF!,#REF!,Fri,Wed
A00293,West,Lopez,Assess,,27-Nov-20,29-Nov-20,1,,,0.75,32.29,Account,2,#REF!,#REF!,#REF!,32.29,#REF!,#REF!,Fri,Sun
A00294,Southwest,Lopez,Assess,,28-Nov-20,05-Dec-20,1,,Yes,0.25,30.91,Account,7,#REF!,#REF!,#REF!,30.91,#REF!,#REF!,Sat,Sat
A00295,Central,Burton,Replace,Yes,28-Nov-20,01-Dec-20,2,,,0.25,129.85,C.O.D.,3,#REF!,#REF!,#REF!,129.85,#REF!,#REF!,Sat,Tue
A00296,East,Burton,Assess,Yes,29-Nov-20,02-Dec-20,1,,,1.0,171.24,C.O.D.,3,#REF!,#REF!,#REF!,171.24,#REF!,#REF!,Sun,Wed
A00297,South,Michner,Assess,,29-Nov-20,30-Nov-20,2,,,0.25,128.28,Account,1,#REF!,#REF!,#REF!,128.28,#REF!,#REF!,Sun,Mon
A00298,East,Ling,Deliver,,30-Nov-20,10-Dec-20,1,,,0.5,95.52,Account,10,#REF!,#REF!,#REF!,95.52,#REF!,#REF!,Mon,Thu
A00299,West,Lopez,Assess,Yes,30-Nov-20,02-Dec-20,1,,,1.0,72.29,P.O.,2,#REF!,#REF!,#REF!,72.29,#REF!,#REF!,Mon,Wed
A00300,North,Khan,Repair,,30-Nov-20,02-Dec-20,1,,,0.25,290.94,Account,2,#REF!,#REF!,#REF!,290.94,#REF!,#REF!,Mon,Wed
A00301,South,Cartier,Assess,,01-Dec-20,06-Dec-20,1,,,0.25,172.97,C.O.D.,5,#REF!,#REF!,#REF!,172.97,#REF!,#REF!,Tue,Sun
A00302,Northeast,Khan,Replace,,01-Dec-20,06-Dec-20,1,,,1.75,173.0,Account,5,#REF!,#REF!,#REF!,173.0,#REF!,#REF!,Tue,Sun
A00303,West,Cartier,Replace,Yes,02-Dec-20,04-Dec-20,1,,,1.0,21.04,Account,2,#REF!,#REF!,#REF!,21.04,#REF!,#REF!,Wed,Fri
A00304,North,Khan,Repair,,02-Dec-20,03-Dec-20,1,,,0.75,136.41,C.O.D.,1,#REF!,#REF!,#REF!,136.41,#REF!,#REF!,Wed,Thu
A00305,South,Lopez,Deliver,Yes,03-Dec-20,04-Dec-20,1,,,1.5,100.77,C.O.D.,1,#REF!,#REF!,#REF!,100.77,#REF!,#REF!,Thu,Fri
A00306,North,Lopez,Assess,,03-Dec-20,05-Dec-20,1,,,0.25,50.89,P.O.,2,#REF!,#REF!,#REF!,50.89,#REF!,#REF!,Thu,Sat
A00307,Central,Michner,Assess,,04-Dec-20,09-Dec-20,1,,,1.0,313.99,Account,5,#REF!,#REF!,#REF!,313.99,#REF!,#REF!,Fri,Wed
A00308,East,Michner,Deliver,Yes,04-Dec-20,11-Dec-20,1,,,0.25,180.4,Account,7,#REF!,#REF!,#REF!,180.4,#REF!,#REF!,Fri,Fri
A00309,South,Lopez,Assess,,05-Dec-20,10-Dec-20,1,Yes,,0.25,62.8,Account,5,#REF!,#REF!,#REF!,62.8,#REF!,#REF!,Sat,Thu
A00310,North,Cartier,Assess,,05-Dec-20,12-Dec-20,1,,,1.0,80.76,Account,7,#REF!,#REF!,#REF!,80.76,#REF!,#REF!,Sat,Sat
A00311,Northeast,Khan,Replace,,06-Dec-20,11-Dec-20,2,,,1.0,39.88,C.O.D.,5,#REF!,#REF!,#REF!,39.88,#REF!,#REF!,Sun,Fri
A00312,Southeast,Cartier,Assess,,06-Dec-20,13-Dec-20,1,,,1.0,232.38,C.O.D.,7,#REF!,#REF!,#REF!,232.38,#REF!,#REF!,Sun,Sun
A00313,Southwest,Lopez,Deliver,Yes,07-Dec-20,08-Dec-20,1,,,1.0,685.55,Account,1,#REF!,#REF!,#REF!,685.55,#REF!,#REF!,Mon,Tue
A00314,West,Lopez,Deliver,,07-Dec-20,10-Dec-20,1,,,0.25,16.04,Account,3,#REF!,#REF!,#REF!,16.04,#REF!,#REF!,Mon,Thu
A00315,West,Khan,Replace,Yes,08-Dec-20,10-Dec-20,1,,,0.25,158.16,Account,2,#REF!,#REF!,#REF!,158.16,#REF!,#REF!,Tue,Thu
A00316,South,Cartier,Assess,Yes,08-Dec-20,11-Dec-20,1,,,0.75,176.92,P.O.,3,#REF!,#REF!,#REF!,176.92,#REF!,#REF!,Tue,Fri
A00317,West,Cartier,Assess,Yes,09-Dec-20,11-Dec-20,1,,,0.5,20.25,C.O.D.,2,#REF!,#REF!,#REF!,20.25,#REF!,#REF!,Wed,Fri
A00318,Southwest,Burton,Assess,,09-Dec-20,16-Dec-20,1,,,0.25,75.8,C.O.D.,7,#REF!,#REF!,#REF!,75.8,#REF!,#REF!,Wed,Wed
A00319,Southwest,Lopez,Replace,,10-Dec-20,13-Dec-20,1,Yes,,0.75,118.27,C.O.D.,3,#REF!,#REF!,#REF!,118.27,#REF!,#REF!,Thu,Sun
A00320,Central,Ling,Assess,,10-Dec-20,15-Dec-20,1,,,0.25,207.23,Account,5,#REF!,#REF!,#REF!,207.23,#REF!,#REF!,Thu,Tue
A00321,Northwest,Lopez,Assess,,10-Dec-20,13-Dec-20,2,Yes,,0.25,19.58,Account,3,#REF!,#REF!,#REF!,19.58,#REF!,#REF!,Thu,Sun
A00322,Southwest,Burton,Replace,Yes,11-Dec-20,13-Dec-20,1,,,0.25,51.21,Account,2,#REF!,#REF!,#REF!,51.21,#REF!,#REF!,Fri,Sun
A00323,Northwest,Lopez,Deliver,,11-Dec-20,18-Dec-20,1,,,0.25,296.8,Account,7,#REF!,#REF!,#REF!,296.8,#REF!,#REF!,Fri,Fri
A00324,North,Cartier,Assess,,12-Dec-20,17-Dec-20,1,,,0.25,269.09,Account,5,#REF!,#REF!,#REF!,269.09,#REF!,#REF!,Sat,Thu
A00325,Northeast,Michner,Replace,,12-Dec-20,22-Dec-20,2,,,0.25,62.05,Account,10,#REF!,#REF!,#REF!,62.05,#REF!,#REF!,Sat,Tue
A00326,Southwest,Ling,Assess,,13-Dec-20,02-Jan-21,2,,,0.75,107.02,P.O.,20,#REF!,#REF!,#REF!,107.02,#REF!,#REF!,Sun,Sat
A00327,Southwest,Michner,Replace,,13-Dec-20,15-Dec-20,1,,,0.25,362.08,C.O.D.,2,#REF!,#REF!,#REF!,362.08,#REF!,#REF!,Sun,Tue
A00328,South,Cartier,Replace,,14-Dec-20,19-Dec-20,1,,,0.5,470.84,C.O.D.,5,#REF!,#REF!,#REF!,470.84,#REF!,#REF!,Mon,Sat
A00329,Southeast,Ling,Assess,,14-Dec-20,17-Dec-20,2,,,0.25,141.83,Account,3,#REF!,#REF!,#REF!,141.83,#REF!,#REF!,Mon,Thu
A00330,Southwest,Lopez,Deliver,,15-Dec-20,17-Dec-20,1,,,1.5,105.35,Account,2,#REF!,#REF!,#REF!,105.35,#REF!,#REF!,Tue,Thu
A00331,West,Khan,Assess,,15-Dec-20,17-Dec-20,2,Yes,,0.5,53.12,C.O.D.,2,#REF!,#REF!,#REF!,53.12,#REF!,#REF!,Tue,Thu
A00332,East,Khan,Assess,Yes,16-Dec-20,21-Dec-20,2,,,0.5,34.29,C.O.D.,5,#REF!,#REF!,#REF!,34.29,#REF!,#REF!,Wed,Mon
A00333,South,Cartier,Repair,,16-Dec-20,19-Dec-20,1,,,0.75,218.53,Account,3,#REF!,#REF!,#REF!,218.53,#REF!,#REF!,Wed,Sat
A00334,Northwest,Cartier,Deliver,Yes,17-Dec-20,24-Dec-20,2,,Yes,0.5,28.17,C.O.D.,7,#REF!,#REF!,#REF!,28.17,#REF!,#REF!,Thu,Thu
A00335,Northwest,Lopez,Assess,,17-Dec-20,20-Dec-20,1,,,0.25,220.26,Account,3,#REF!,#REF!,#REF!,220.26,#REF!,#REF!,Thu,Sun
A00336,Central,Ling,Assess,,18-Dec-20,21-Dec-20,2,,,0.25,88.95,C.O.D.,3,#REF!,#REF!,#REF!,88.95,#REF!,#REF!,Fri,Mon
A00337,East,Lopez,Deliver,Yes,18-Dec-20,21-Dec-20,1,,,1.0,25.23,Account,3,#REF!,#REF!,#REF!,25.23,#REF!,#REF!,Fri,Mon
A00338,Southwest,Cartier,Assess,,19-Dec-20,21-Dec-20,1,,,0.75,209.41,C.O.D.,2,#REF!,#REF!,#REF!,209.41,#REF!,#REF!,Sat,Mon
A00339,North,Burton,Replace,,19-Dec-20,21-Dec-20,1,,,0.25,244.83,Account,2,#REF!,#REF!,#REF!,244.83,#REF!,#REF!,Sat,Mon
A00340,Southeast,Cartier,Replace,,19-Dec-20,29-Dec-20,1,,,0.75,75.47,C.O.D.,10,#REF!,#REF!,#REF!,75.47,#REF!,#REF!,Sat,Tue
A00341,North,Khan,Deliver,,20-Dec-20,03-Jan-21,2,,,0.25,34.73,Account,14,#REF!,#REF!,#REF!,34.73,#REF!,#REF!,Sun,Sun
A00342,West,Ling,Replace,,20-Dec-20,23-Dec-20,1,,,0.25,78.17,Account,3,#REF!,#REF!,#REF!,78.17,#REF!,#REF!,Sun,Wed
A00343,Northwest,Khan,Assess,,21-Dec-20,10-Jan-21,2,,,3.5,129.04,C.O.D.,20,#REF!,#REF!,#REF!,129.04,#REF!,#REF!,Mon,Sun
A00344,Southwest,Burton,Replace,Yes,21-Dec-20,26-Dec-20,1,,,0.25,45.73,Account,5,#REF!,#REF!,#REF!,45.73,#REF!,#REF!,Mon,Sat
A00345,Southwest,Michner,Replace,,22-Dec-20,25-Dec-20,1,,,0.25,264.2,P.O.,3,#REF!,#REF!,#REF!,264.2,#REF!,#REF!,Tue,Fri
A00346,Northwest,Khan,Repair,,22-Dec-20,25-Dec-20,1,,,0.25,117.4,P.O.,3,#REF!,#REF!,#REF!,117.4,#REF!,#REF!,Tue,Fri
A00347,East,Ling,Assess,,23-Dec-20,02-Jan-21,1,,,1.5,145.25,C.O.D.,10,#REF!,#REF!,#REF!,145.25,#REF!,#REF!,Wed,Sat
A00348,North,Ling,Replace,Yes,23-Dec-20,02-Jan-21,1,,,0.5,280.16,Account,10,#REF!,#REF!,#REF!,280.16,#REF!,#REF!,Wed,Sat
A00349,Central,Michner,Replace,,24-Dec-20,29-Dec-20,1,,,0.25,197.93,P.O.,5,#REF!,#REF!,#REF!,197.93,#REF!,#REF!,Thu,Tue
A00350,Northeast,Lopez,Assess,,24-Dec-20,26-Dec-20,1,,,0.25,66.4,Account,2,#REF!,#REF!,#REF!,66.4,#REF!,#REF!,Thu,Sat
A00351,Northeast,Cartier,Assess,,25-Dec-20,26-Dec-20,1,,,0.5,83.69,Account,1,#REF!,#REF!,#REF!,83.69,#REF!,#REF!,Fri,Sat
A00352,Northwest,Khan,Assess,,25-Dec-20,30-Dec-20,2,,,0.5,81.77,Account,5,#REF!,#REF!,#REF!,81.77,#REF!,#REF!,Fri,Wed
A00353,Northwest,Michner,Assess,Yes,26-Dec-20,29-Dec-20,1,,,0.25,97.47,P.O.,3,#REF!,#REF!,#REF!,97.47,#REF!,#REF!,Sat,Tue
A00354,Central,Cartier,Assess,,26-Dec-20,29-Dec-20,1,,,1.5,145.88,Account,3,#REF!,#REF!,#REF!,145.88,#REF!,#REF!,Sat,Tue
A00355,North,Ling,Replace,Yes,27-Dec-20,01-Jan-21,2,,,0.25,48.25,Account,5,#REF!,#REF!,#REF!,48.25,#REF!,#REF!,Sun,Fri
A00356,South,Lopez,Assess,,27-Dec-20,01-Jan-21,2,,,0.5,108.21,P.O.,5,#REF!,#REF!,#REF!,108.21,#REF!,#REF!,Sun,Fri
A00357,Central,Khan,Repair,,28-Dec-20,31-Dec-20,1,,,0.5,96.2,Account,3,#REF!,#REF!,#REF!,96.2,#REF!,#REF!,Mon,Thu
A00358,Southeast,Burton,Assess,,28-Dec-20,30-Dec-20,1,Yes,,0.5,30.9,Account,2,#REF!,#REF!,#REF!,30.9,#REF!,#REF!,Mon,Wed
A00359,Central,Cartier,Assess,,28-Dec-20,31-Dec-20,1,Yes,,0.25,87.92,C.O.D.,3,#REF!,#REF!,#REF!,87.92,#REF!,#REF!,Mon,Thu
A00360,East,Michner,Deliver,Yes,29-Dec-20,30-Dec-20,1,,,0.75,83.46,C.O.D.,1,#REF!,#REF!,#REF!,83.46,#REF!,#REF!,Tue,Wed
A00361,Southwest,Cartier,Replace,,29-Dec-20,08-Jan-21,1,,,0.5,98.51,Account,10,#REF!,#REF!,#REF!,98.51,#REF!,#REF!,Tue,Fri
A00362,East,Khan,Assess,Yes,30-Dec-20,04-Jan-21,1,,,0.25,71.01,C.O.D.,5,#REF!,#REF!,#REF!,71.01,#REF!,#REF!,Wed,Mon
A00363,North,Michner,Deliver,Yes,30-Dec-20,04-Jan-21,1,,Yes,0.5,152.38,Account,5,#REF!,#REF!,#REF!,152.38,#REF!,#REF!,Wed,Mon
A00364,Northeast,Cartier,Replace,,31-Dec-20,03-Jan-21,1,,,0.5,33.43,Account,3,#REF!,#REF!,#REF!,33.43,#REF!,#REF!,Thu,Sun
A00365,East,Michner,Assess,,31-Dec-20,07-Jan-21,1,Yes,,1.5,123.34,C.O.D.,7,#REF!,#REF!,#REF!,123.34,#REF!,#REF!,Thu,Thu
A00366,West,Khan,Assess,Yes,01-Jan-21,31-Jan-21,2,Yes,,0.5,34.62,Account,30,#REF!,#REF!,#REF!,34.62,#REF!,#REF!,Fri,Sun
A00367,Central,Lopez,Deliver,,01-Jan-21,11-Jan-21,1,,,0.25,419.75,C.O.D.,10,#REF!,#REF!,#REF!,419.75,#REF!,#REF!,Fri,Mon
A00368,Northeast,Ling,Assess,,02-Jan-21,05-Jan-21,2,,,0.75,55.38,Account,3,#REF!,#REF!,#REF!,55.38,#REF!,#REF!,Sat,Tue
A00369,Central,Ling,Replace,Yes,02-Jan-21,09-Jan-21,1,,,0.25,411.5,P.O.,7,#REF!,#REF!,#REF!,411.5,#REF!,#REF!,Sat,Sat
A00370,Northwest,Ling,Replace,,03-Jan-21,10-Jan-21,1,,,1.0,358.48,Account,7,#REF!,#REF!,#REF!,358.48,#REF!,#REF!,Sun,Sun
A00371,West,Michner,Replace,,03-Jan-21,06-Jan-21,1,,,0.5,124.19,P.O.,3,#REF!,#REF!,#REF!,124.19,#REF!,#REF!,Sun,Wed
A00372,North,Cartier,Deliver,,04-Jan-21,07-Jan-21,1,,,0.5,387.46,Account,3,#REF!,#REF!,#REF!,387.46,#REF!,#REF!,Mon,Thu
A00373,West,Ling,Assess,,04-Jan-21,06-Jan-21,1,,,0.25,16.25,P.O.,2,#REF!,#REF!,#REF!,16.25,#REF!,#REF!,Mon,Wed
A00374,Southeast,Lopez,Assess,,05-Jan-21,07-Jan-21,1,,,0.5,136.6,C.O.D.,2,#REF!,#REF!,#REF!,136.6,#REF!,#REF!,Tue,Thu
A00375,Central,Michner,Repair,,05-Jan-21,08-Jan-21,2,,Yes,0.25,12.78,Account,3,#REF!,#REF!,#REF!,12.78,#REF!,#REF!,Tue,Fri
A00376,East,Khan,Assess,,06-Jan-21,09-Jan-21,2,,,0.75,236.94,C.O.D.,3,#REF!,#REF!,#REF!,236.94,#REF!,#REF!,Wed,Sat
A00377,Southwest,Lopez,Assess,Yes,06-Jan-21,07-Jan-21,1,,,0.5,132.49,C.O.D.,1,#REF!,#REF!,#REF!,132.49,#REF!,#REF!,Wed,Thu
A00378,Central,Cartier,Deliver,,07-Jan-21,12-Jan-21,1,,,0.75,18.68,Account,5,#REF!,#REF!,#REF!,18.68,#REF!,#REF!,Thu,Tue
A00379,South,Cartier,Deliver,,07-Jan-21,10-Jan-21,1,,,0.5,234.09,C.O.D.,3,#REF!,#REF!,#REF!,234.09,#REF!,#REF!,Thu,Sun
A00380,East,Cartier,Assess,,07-Jan-21,09-Jan-21,2,,,1.0,85.1,C.O.D.,2,#REF!,#REF!,#REF!,85.1,#REF!,#REF!,Thu,Sat
A00381,West,Lopez,Assess,Yes,08-Jan-21,13-Jan-21,1,,,0.5,27.83,P.O.,5,#REF!,#REF!,#REF!,27.83,#REF!,#REF!,Fri,Wed
A00382,Southeast,Michner,Deliver,Yes,08-Jan-21,15-Jan-21,1,,,0.25,12.52,C.O.D.,7,#REF!,#REF!,#REF!,12.52,#REF!,#REF!,Fri,Fri
A00383,Northwest,Michner,Deliver,Yes,09-Jan-21,10-Jan-21,2,,,0.75,58.12,Account,1,#REF!,#REF!,#REF!,58.12,#REF!,#REF!,Sat,Sun
A00384,Central,Khan,Deliver,Yes,09-Jan-21,12-Jan-21,1,Yes,,0.5,69.35,P.O.,3,#REF!,#REF!,#REF!,69.35,#REF!,#REF!,Sat,Tue
A00385,North,Lopez,Assess,,10-Jan-21,15-Jan-21,1,,,0.25,34.42,C.O.D.,5,#REF!,#REF!,#REF!,34.42,#REF!,#REF!,Sun,Fri
A00386,North,Burton,Assess,Yes,10-Jan-21,15-Jan-21,2,,,0.75,136.49,Account,5,#REF!,#REF!,#REF!,136.49,#REF!,#REF!,Sun,Fri
A00387,Southeast,Burton,Deliver,,11-Jan-21,14-Jan-21,1,,,0.5,18.95,C.O.D.,3,#REF!,#REF!,#REF!,18.95,#REF!,#REF!,Mon,Thu
A00388,West,Lopez,Assess,,11-Jan-21,14-Jan-21,2,,,0.75,180.8,Account,3,#REF!,#REF!,#REF!,180.8,#REF!,#REF!,Mon,Thu
A00389,Northeast,Burton,Replace,Yes,12-Jan-21,15-Jan-21,2,,,0.5,116.36,Account,3,#REF!,#REF!,#REF!,116.36,#REF!,#REF!,Tue,Fri
A00390,Southwest,Khan,Assess,,12-Jan-21,13-Jan-21,1,,,0.25,302.89,C.O.D.,1,#REF!,#REF!,#REF!,302.89,#REF!,#REF!,Tue,Wed
A00391,Central,Khan,Replace,,13-Jan-21,20-Jan-21,1,,,0.5,409.75,C.O.D.,7,#REF!,#REF!,#REF!,409.75,#REF!,#REF!,Wed,Wed
A00392,West,Burton,Assess,,13-Jan-21,18-Jan-21,1,Yes,,0.25,188.94,C.O.D.,5,#REF!,#REF!,#REF!,188.94,#REF!,#REF!,Wed,Mon
A00393,Northwest,Ling,Assess,,14-Jan-21,16-Jan-21,1,,,0.25,55.27,C.O.D.,2,#REF!,#REF!,#REF!,55.27,#REF!,#REF!,Thu,Sat
A00394,Central,Khan,Replace,Yes,14-Jan-21,03-Feb-21,2,,,0.5,55.8,Account,20,#REF!,#REF!,#REF!,55.8,#REF!,#REF!,Thu,Wed
A00395,South,Lopez,Assess,,15-Jan-21,17-Jan-21,1,,,4.25,45.3,C.O.D.,2,#REF!,#REF!,#REF!,45.3,#REF!,#REF!,Fri,Sun
A00396,Northwest,Khan,Assess,,15-Jan-21,20-Jan-21,1,,,0.75,116.11,Account,5,#REF!,#REF!,#REF!,116.11,#REF!,#REF!,Fri,Wed
A00397,Northeast,Burton,Assess,Yes,16-Jan-21,26-Jan-21,1,,,0.25,167.41,C.O.D.,10,#REF!,#REF!,#REF!,167.41,#REF!,#REF!,Sat,Tue
A00398,South,Lopez,Assess,,16-Jan-21,17-Jan-21,1,,,0.5,55.63,C.O.D.,1,#REF!,#REF!,#REF!,55.63,#REF!,#REF!,Sat,Sun
A00399,East,Michner,Assess,,16-Jan-21,19-Jan-21,2,,,0.25,86.13,C.O.D.,3,#REF!,#REF!,#REF!,86.13,#REF!,#REF!,Sat,Tue
A00400,Northeast,Burton,Deliver,Yes,17-Jan-21,27-Jan-21,2,Yes,,1.0,45.75,P.O.,10,#REF!,#REF!,#REF!,45.75,#REF!,#REF!,Sun,Wed
A00401,Central,Burton,Repair,Yes,17-Jan-21,19-Jan-21,2,,,0.5,314.67,Account,2,#REF!,#REF!,#REF!,314.67,#REF!,#REF!,Sun,Tue
A00402,South,Lopez,Assess,Yes,18-Jan-21,20-Jan-21,2,Yes,,2.0,100.94,P.O.,2,#REF!,#REF!,#REF!,100.94,#REF!,#REF!,Mon,Wed
A00403,Northeast,Michner,Replace,,18-Jan-21,25-Jan-21,1,,,2.0,185.56,P.O.,7,#REF!,#REF!,#REF!,185.56,#REF!,#REF!,Mon,Mon
A00404,East,Lopez,Deliver,Yes,19-Jan-21,24-Jan-21,2,,,0.25,59.07,C.O.D.,5,#REF!,#REF!,#REF!,59.07,#REF!,#REF!,Tue,Sun
A00405,Northwest,Ling,Assess,,19-Jan-21,26-Jan-21,1,,,0.25,73.37,P.O.,7,#REF!,#REF!,#REF!,73.37,#REF!,#REF!,Tue,Tue
A00406,Southwest,Ling,Assess,,20-Jan-21,19-Feb-21,1,,,1.75,115.78,Account,30,#REF!,#REF!,#REF!,115.78,#REF!,#REF!,Wed,Fri
